abdomen,
ambulacrum,
anal tube,
antenna(s),
appendage(s),
aptychus,
arm(s),
aulacophore(s),
brachial valve,
calyx,
carapace(s),
carina,
cephalon,
cephalothorax(es),
cerci,
chelicerae,
claw(s),
columnal(s),
coxa(e),
cranidium,
cross section,
disk,
elytron(a),
endostoma,
exopodite,
eye(s),
fragment,
free cheek,
genal spine(s),
genital appendage,
gills,
glabella,
gnathobase(s),
gut,
head,
helen(s),
holdfast(s),
hook(s),
hypostome(s),
ink sac(s),
jaw(s),
lantern,
lappet(s),
left valve(s),
leg(s),
living chamber,
lobolith,
lower mandible(s),
mandible(s),
metastoma,
molt,
mouth,
odontophore,
operculum(a),
ophthalmic spine(s),
ovipositor,
paddle,
pectine,
pedicellaria,
pedicle valve,
pereiopod type 1,
pereiopod type 2,
pereiopod type 3,
phragmocone,
plate(s),
pleomere,
podomere(s),
posterior sucker,
proboscis,
prosoma,
protoconch,
pygidium,
right valve(s),
rostrum,
sagittal section,
sclerite(s),
scolecodont,
seta(e),
shield(s),
siphuncle,
spicule(s),
spine(s),
spiralium(a),
stem(s),
sternite,
stinger,
swimming paddle,
tail,
telson,
tergite,
test,
theca,
thoracic segment,
tube,
tube feet,
upper mandible(s),
valve(s),
"valve(s), right & left",
"valve, left",
"valve, right",
vertebra(e),
wing,
